opcode_hex,rockwell_token,wdc_token,rockwell_normalized,wdc_normalized,raw_equal,normalized_equal
00,brk_c_imp,brk_s_imp,brk_imp,brk_imp,no,yes
01,ora_idx,ora_s_idx,ora_idx,ora_idx,no,yes
02,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
03,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
04,tsb_zpg,tsb_s_zpg,tsb_zpg,tsb_zpg,no,yes
05,ora_zpg,ora_zpg,ora_zpg,ora_zpg,yes,yes
06,asl_c_zpg,asl_s_zpg,asl_zpg,asl_zpg,no,yes
07,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
08,php_imp,php_imp,php_imp,php_imp,yes,yes
09,ora_imm,ora_imm,ora_imm,ora_imm,yes,yes
0A,asl_acc,asl_acc,asl_acc,asl_acc,yes,yes
0B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
0C,tsb_aba,tsb_aba,tsb_aba,tsb_aba,yes,yes
0D,ora_aba,ora_aba,ora_aba,ora_aba,yes,yes
0E,asl_c_aba,asl_c_aba,asl_aba,asl_aba,yes,yes
0F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
10,bpl_rel,bpl_rel,bpl_rel,bpl_rel,yes,yes
11,ora_idy,ora_s_idy,ora_idy,ora_idy,no,yes
12,ora_zpi,ora_zpi,ora_zpi,ora_zpi,yes,yes
13,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
14,trb_zpg,trb_s_zpg,trb_zpg,trb_zpg,no,yes
15,ora_zpx,ora_s_zpx,ora_zpx,ora_zpx,no,yes
16,asl_c_zpx,asl_s_zpx,asl_zpx,asl_zpx,no,yes
17,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
18,clc_imp,clc_imp,clc_imp,clc_imp,yes,yes
19,ora_aby,ora_s_aby,ora_aby,ora_aby,no,yes
1A,inc_acc,inc_acc,inc_acc,inc_acc,yes,yes
1B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
1C,trb_aba,trb_aba,trb_aba,trb_aba,yes,yes
1D,ora_abx,ora_s_abx,ora_abx,ora_abx,no,yes
1E,asl_c_abx,asl_s_abx,asl_abx,asl_abx,no,yes
1F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
20,jsr_adr,jsr_adr,jsr_adr,jsr_adr,yes,yes
21,and_idx,and_s_idx,and_idx,and_idx,no,yes
22,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
23,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
24,bit_zpg,bit_zpg,bit_zpg,bit_zpg,yes,yes
25,and_zpg,and_zpg,and_zpg,and_zpg,yes,yes
26,rol_c_zpg,rol_s_zpg,rol_zpg,rol_zpg,no,yes
27,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
28,plp_imp,plp_s_imp,plp_imp,plp_imp,no,yes
29,and_imm,and_imm,and_imm,and_imm,yes,yes
2A,rol_acc,rol_acc,rol_acc,rol_acc,yes,yes
2B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
2C,bit_aba,bit_aba,bit_aba,bit_aba,yes,yes
2D,and_aba,and_aba,and_aba,and_aba,yes,yes
2E,rol_c_aba,rol_c_aba,rol_aba,rol_aba,yes,yes
2F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
30,bmi_rel,bmi_rel,bmi_rel,bmi_rel,yes,yes
31,and_idy,and_s_idy,and_idy,and_idy,no,yes
32,and_zpi,and_zpi,and_zpi,and_zpi,yes,yes
33,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
34,bit_zpx,bit_s_zpx,bit_zpx,bit_zpx,no,yes
35,and_zpx,and_s_zpx,and_zpx,and_zpx,no,yes
36,rol_c_zpx,rol_s_zpx,rol_zpx,rol_zpx,no,yes
37,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
38,sec_imp,sec_imp,sec_imp,sec_imp,yes,yes
39,and_aby,and_s_aby,and_aby,and_aby,no,yes
3A,dec_acc,dec_acc,dec_acc,dec_acc,yes,yes
3B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
3C,bit_abx,bit_s_abx,bit_abx,bit_abx,no,yes
3D,and_abx,and_s_abx,and_abx,and_abx,no,yes
3E,rol_c_abx,rol_s_abx,rol_abx,rol_abx,no,yes
3F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
40,rti_imp,rti_s_imp,rti_imp,rti_imp,no,yes
41,eor_idx,eor_s_idx,eor_idx,eor_idx,no,yes
42,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
43,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
44,nop_zpg,nop_zpg,nop_zpg,nop_zpg,yes,yes
45,eor_zpg,eor_zpg,eor_zpg,eor_zpg,yes,yes
46,lsr_c_zpg,lsr_s_zpg,lsr_zpg,lsr_zpg,no,yes
47,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
48,pha_imp,pha_imp,pha_imp,pha_imp,yes,yes
49,eor_imm,eor_imm,eor_imm,eor_imm,yes,yes
4A,lsr_acc,lsr_acc,lsr_acc,lsr_acc,yes,yes
4B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
4C,jmp_adr,jmp_adr,jmp_adr,jmp_adr,yes,yes
4D,eor_aba,eor_aba,eor_aba,eor_aba,yes,yes
4E,lsr_c_aba,lsr_c_aba,lsr_aba,lsr_aba,yes,yes
4F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
50,bvc_rel,bvc_rel,bvc_rel,bvc_rel,yes,yes
51,eor_idy,eor_s_idy,eor_idy,eor_idy,no,yes
52,eor_zpi,eor_zpi,eor_zpi,eor_zpi,yes,yes
53,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
54,nop_zpx,nop_s_zpx,nop_zpx,nop_zpx,no,yes
55,eor_zpx,eor_s_zpx,eor_zpx,eor_zpx,no,yes
56,lsr_c_zpx,lsr_s_zpx,lsr_zpx,lsr_zpx,no,yes
57,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
58,cli_imp,cli_imp,cli_imp,cli_imp,yes,yes
59,eor_aby,eor_s_aby,eor_aby,eor_aby,no,yes
5A,phy_imp,phy_imp,phy_imp,phy_imp,yes,yes
5B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
5C,nop_c_aba,nop_c_aba,nop_aba,nop_aba,yes,yes
5D,eor_abx,eor_s_abx,eor_abx,eor_abx,no,yes
5E,lsr_c_abx,lsr_s_abx,lsr_abx,lsr_abx,no,yes
5F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
60,rts_imp,rts_s_imp,rts_imp,rts_imp,no,yes
61,adc_c_idx,adc_s_idx,adc_idx,adc_idx,no,yes
62,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
63,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
64,stz_zpg,stz_zpg,stz_zpg,stz_zpg,yes,yes
65,adc_c_zpg,adc_c_zpg,adc_zpg,adc_zpg,yes,yes
66,ror_c_zpg,ror_s_zpg,ror_zpg,ror_zpg,no,yes
67,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
68,pla_imp,pla_s_imp,pla_imp,pla_imp,no,yes
69,adc_c_imm,adc_c_imm,adc_imm,adc_imm,yes,yes
6A,ror_acc,ror_acc,ror_acc,ror_acc,yes,yes
6B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
6C,jmp_c_ind,jmp_s_ind,jmp_ind,jmp_ind,no,yes
6D,adc_c_aba,adc_c_aba,adc_aba,adc_aba,yes,yes
6E,ror_c_aba,ror_c_aba,ror_aba,ror_aba,yes,yes
6F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
70,bvs_rel,bvs_rel,bvs_rel,bvs_rel,yes,yes
71,adc_c_idy,adc_s_idy,adc_idy,adc_idy,no,yes
72,adc_c_zpi,adc_c_zpi,adc_zpi,adc_zpi,yes,yes
73,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
74,stz_zpx,stz_s_zpx,stz_zpx,stz_zpx,no,yes
75,adc_c_zpx,adc_s_zpx,adc_zpx,adc_zpx,no,yes
76,ror_c_zpx,ror_s_zpx,ror_zpx,ror_zpx,no,yes
77,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
78,sei_imp,sei_imp,sei_imp,sei_imp,yes,yes
79,adc_c_aby,adc_s_aby,adc_aby,adc_aby,no,yes
7A,ply_imp,ply_s_imp,ply_imp,ply_imp,no,yes
7B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
7C,jmp_iax,jmp_s_iax,jmp_iax,jmp_iax,no,yes
7D,adc_c_abx,adc_s_abx,adc_abx,adc_abx,no,yes
7E,ror_c_abx,ror_s_abx,ror_abx,ror_abx,no,yes
7F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
80,bra_rel,bra_rel,bra_rel,bra_rel,yes,yes
81,sta_idx,sta_s_idx,sta_idx,sta_idx,no,yes
82,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
83,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
84,sty_zpg,sty_zpg,sty_zpg,sty_zpg,yes,yes
85,sta_zpg,sta_zpg,sta_zpg,sta_zpg,yes,yes
86,stx_zpg,stx_zpg,stx_zpg,stx_zpg,yes,yes
87,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
88,dey_imp,dey_imp,dey_imp,dey_imp,yes,yes
89,bit_imm,bit_imm,bit_imm,bit_imm,yes,yes
8A,txa_imp,txa_imp,txa_imp,txa_imp,yes,yes
8B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
8C,sty_aba,sty_aba,sty_aba,sty_aba,yes,yes
8D,sta_aba,sta_aba,sta_aba,sta_aba,yes,yes
8E,stx_aba,stx_aba,stx_aba,stx_aba,yes,yes
8F,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
90,bcc_rel,bcc_rel,bcc_rel,bcc_rel,yes,yes
91,sta_idy,sta_s_idy,sta_idy,sta_idy,no,yes
92,sta_zpi,sta_zpi,sta_zpi,sta_zpi,yes,yes
93,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
94,sty_zpx,sty_s_zpx,sty_zpx,sty_zpx,no,yes
95,sta_zpx,sta_s_zpx,sta_zpx,sta_zpx,no,yes
96,stx_zpy,stx_s_zpy,stx_zpy,stx_zpy,no,yes
97,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
98,tya_imp,tya_imp,tya_imp,tya_imp,yes,yes
99,sta_aby,sta_s_aby,sta_aby,sta_aby,no,yes
9A,txs_imp,txs_imp,txs_imp,txs_imp,yes,yes
9B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
9C,stz_aba,stz_aba,stz_aba,stz_aba,yes,yes
9D,sta_abx,sta_s_abx,sta_abx,sta_abx,no,yes
9E,stz_abx,stz_s_abx,stz_abx,stz_abx,no,yes
9F,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
A0,ldy_imm,ldy_imm,ldy_imm,ldy_imm,yes,yes
A1,lda_idx,lda_s_idx,lda_idx,lda_idx,no,yes
A2,ldx_imm,ldx_imm,ldx_imm,ldx_imm,yes,yes
A3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
A4,ldy_zpg,ldy_zpg,ldy_zpg,ldy_zpg,yes,yes
A5,lda_zpg,lda_zpg,lda_zpg,lda_zpg,yes,yes
A6,ldx_zpg,ldx_zpg,ldx_zpg,ldx_zpg,yes,yes
A7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
A8,tay_imp,tay_imp,tay_imp,tay_imp,yes,yes
A9,lda_imm,lda_imm,lda_imm,lda_imm,yes,yes
AA,tax_imp,tax_imp,tax_imp,tax_imp,yes,yes
AB,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
AC,ldy_aba,ldy_aba,ldy_aba,ldy_aba,yes,yes
AD,lda_aba,lda_aba,lda_aba,lda_aba,yes,yes
AE,ldx_aba,ldx_aba,ldx_aba,ldx_aba,yes,yes
AF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
B0,bcs_rel,bcs_rel,bcs_rel,bcs_rel,yes,yes
B1,lda_idy,lda_s_idy,lda_idy,lda_idy,no,yes
B2,lda_zpi,lda_zpi,lda_zpi,lda_zpi,yes,yes
B3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
B4,ldy_zpx,ldy_s_zpx,ldy_zpx,ldy_zpx,no,yes
B5,lda_zpx,lda_s_zpx,lda_zpx,lda_zpx,no,yes
B6,ldx_zpy,ldx_s_zpy,ldx_zpy,ldx_zpy,no,yes
B7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
B8,clv_imp,clv_imp,clv_imp,clv_imp,yes,yes
B9,lda_aby,lda_s_aby,lda_aby,lda_aby,no,yes
BA,tsx_imp,tsx_imp,tsx_imp,tsx_imp,yes,yes
BB,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
BC,ldy_abx,ldy_s_abx,ldy_abx,ldy_abx,no,yes
BD,lda_abx,lda_s_abx,lda_abx,lda_abx,no,yes
BE,ldx_aby,ldx_s_aby,ldx_aby,ldx_aby,no,yes
BF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
C0,cpy_imm,cpy_imm,cpy_imm,cpy_imm,yes,yes
C1,cmp_idx,cmp_s_idx,cmp_idx,cmp_idx,no,yes
C2,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
C3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
C4,cpy_zpg,cpy_zpg,cpy_zpg,cpy_zpg,yes,yes
C5,cmp_zpg,cmp_zpg,cmp_zpg,cmp_zpg,yes,yes
C6,dec_c_zpg,dec_s_zpg,dec_zpg,dec_zpg,no,yes
C7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
C8,iny_imp,iny_imp,iny_imp,iny_imp,yes,yes
C9,cmp_imm,cmp_imm,cmp_imm,cmp_imm,yes,yes
CA,dex_imp,dex_imp,dex_imp,dex_imp,yes,yes
CB,wai_imp,wai_imp,wai_imp,wai_imp,yes,yes
CC,cpy_aba,cpy_aba,cpy_aba,cpy_aba,yes,yes
CD,cmp_aba,cmp_aba,cmp_aba,cmp_aba,yes,yes
CE,dec_c_aba,dec_c_aba,dec_aba,dec_aba,yes,yes
CF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
D0,bne_rel,bne_rel,bne_rel,bne_rel,yes,yes
D1,cmp_idy,cmp_s_idy,cmp_idy,cmp_idy,no,yes
D2,cmp_zpi,cmp_zpi,cmp_zpi,cmp_zpi,yes,yes
D3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
D4,nop_zpx,nop_s_zpx,nop_zpx,nop_zpx,no,yes
D5,cmp_zpx,cmp_s_zpx,cmp_zpx,cmp_zpx,no,yes
D6,dec_c_zpx,dec_s_zpx,dec_zpx,dec_zpx,no,yes
D7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
D8,cld_imp,cld_imp,cld_imp,cld_imp,yes,yes
D9,cmp_aby,cmp_s_aby,cmp_aby,cmp_aby,no,yes
DA,phx_imp,phx_imp,phx_imp,phx_imp,yes,yes
DB,stp_imp,stp_imp,stp_imp,stp_imp,yes,yes
DC,nop_c_abx,nop_s_abx,nop_abx,nop_abx,no,yes
DD,cmp_abx,cmp_s_abx,cmp_abx,cmp_abx,no,yes
DE,dec_c_abx,dec_s_abx,dec_abx,dec_abx,no,yes
DF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
E0,cpx_imm,cpx_imm,cpx_imm,cpx_imm,yes,yes
E1,sbc_c_idx,sbc_s_idx,sbc_idx,sbc_idx,no,yes
E2,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
E3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
E4,cpx_zpg,cpx_zpg,cpx_zpg,cpx_zpg,yes,yes
E5,sbc_c_zpg,sbc_c_zpg,sbc_zpg,sbc_zpg,yes,yes
E6,inc_c_zpg,inc_s_zpg,inc_zpg,inc_zpg,no,yes
E7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
E8,inx_imp,inx_imp,inx_imp,inx_imp,yes,yes
E9,sbc_c_imm,sbc_c_imm,sbc_imm,sbc_imm,yes,yes
EA,nop_imp,nop_imp,nop_imp,nop_imp,yes,yes
EB,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
EC,cpx_aba,cpx_aba,cpx_aba,cpx_aba,yes,yes
ED,sbc_c_aba,sbc_c_aba,sbc_aba,sbc_aba,yes,yes
EE,inc_c_aba,inc_c_aba,inc_aba,inc_aba,yes,yes
EF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
F0,beq_rel,beq_rel,beq_rel,beq_rel,yes,yes
F1,sbc_c_idy,sbc_s_idy,sbc_idy,sbc_idy,no,yes
F2,sbc_c_zpi,sbc_c_zpi,sbc_zpi,sbc_zpi,yes,yes
F3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
F4,nop_zpx,nop_s_zpx,nop_zpx,nop_zpx,no,yes
F5,sbc_c_zpx,sbc_s_zpx,sbc_zpx,sbc_zpx,no,yes
F6,inc_c_zpx,inc_s_zpx,inc_zpx,inc_zpx,no,yes
F7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
F8,sed_imp,sed_imp,sed_imp,sed_imp,yes,yes
F9,sbc_c_aby,sbc_s_aby,sbc_aby,sbc_aby,no,yes
FA,plx_imp,plx_s_imp,plx_imp,plx_imp,no,yes
FB,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
FC,nop_c_abx,nop_s_abx,nop_abx,nop_abx,no,yes
FD,sbc_c_abx,sbc_s_abx,sbc_abx,sbc_abx,no,yes
FE,inc_c_abx,inc_s_abx,inc_abx,inc_abx,no,yes
FF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
